id,action,image_count,current_start,current_end,proposed_start,proposed_end,project_name
"0001","skip-protected",0,"","","","",""
"0002","skip-protected",0,"","","","",""
"0003","skip-protected",0,"","","","",""
"0004","skip-protected",0,"","","","",""
"0005","skip-protected",0,"","","","",""
"0006","skip-protected",0,"","","","",""
"0007","skip-protected",0,"","","","",""
"0008","skip-protected",0,"","","","",""
"0009","skip-protected",0,"","","","",""
"0010","skip-protected",0,"","","","",""
"0011","skip-protected",0,"","","","",""
"0012","skip-protected",0,"","","","",""
"0013","skip-protected",0,"","","","",""
"0014","skip-protected",0,"","","","",""
"0015","skip-trusted",1,"2025-06-25","2025-06-25","2024-07-21","2024-07-21","Anpanman Kotoba Zukan DX"
"0016","skip-trusted",6,"2025-02-09","2025-02-09","2026-05-17","2026-05-18","Grey bashful bunny plush"
"0018","skip-trusted",5,"2025-02-07","2025-02-08","2025-02-07","2025-02-08","Power Rangers Dino Megazord RC"
"0019","skip-trusted",2,"2024-02-12","2024-02-12","2025-02-12","2025-02-12","Bear in giraffe onesie plush"
"0020","skip-trusted",3,"2024-02-13","2024-02-13","2026-05-17","2026-05-18","Christmas bear music box figurine"
"0021","skip-trusted",1,"2025-03-24","2025-03-24","2026-05-17","2026-05-17","Purple tie-dye monkey plush"
"0022","skip-trusted",6,"2025-05-20","2025-05-20","2025-05-16","2025-05-20","Pokemon Pikachu 2 GS pair"
"0025","skip-trusted",9,"2025-05-23","2025-06-26","2026-05-17","2026-05-18","Hamish yellow teddy bear"
"0027","skip-trusted",23,"2025-04-27","2025-07-27","2025-03-14","2025-07-19","Mattel RC baby dolls"
"0030","skip-trusted",4,"2025-08-23","2025-08-23","2026-05-17","2026-05-17","KFC Chicky footballer figurines"
"0031","skip-trusted",1,"2025-08-29","2025-08-29","2025-08-25","2025-08-25","Mickey and Goofy plush pair"
"0032","skip-trusted",4,"2025-08-30","2025-08-30","2025-08-25","2025-08-25","Kitchen witch on broomstick"
"0034","skip-trusted",2,"2025-09-15","2025-09-16","2026-05-17","2026-05-18","Miniso radish plush"
"0035","skip-trusted",16,"2025-09-25","2025-09-25","2026-05-17","2026-05-18","Jurassic Park electronic T-Rex"
"0036","skip-trusted",9,"2025-09-26","2025-09-26","2026-05-17","2026-05-18","Brown sherpa teddy blue ribbon"
"0037","skip-trusted",12,"2025-10-01","2025-10-01","2025-09-30","2025-09-30","Jellycat Blossom bunny"
"0038","skip-trusted",10,"2025-10-09","2025-10-09","2026-05-17","2026-05-18","Hallmark reading buddy teddy"
"0039","skip-trusted",7,"2025-10-17","2025-10-17","2026-05-17","2026-05-18","CoComelon Cece plush"
"0040","skip-trusted",4,"2025-10-20","2025-10-20","2025-10-02","2025-10-02","Christmas toy train set"
"0041","skip-trusted",8,"2025-10-23","2025-10-23","2025-10-22","2025-10-22","Tonka Chuck and Friends trucks"
"0042","skip-trusted",11,"2025-10-30","2025-10-30","2025-10-21","2025-10-22","Lulla soft cloth baby doll"
"0043","skip-trusted",15,"2025-07-28","2025-11-24","2025-11-04","2025-11-04","Verna 1960s vintage teddy"
"0044","skip-trusted",12,"2025-11-30","2025-11-30","2025-11-22","2025-11-29","Kosen white plush horse"
"0045","skip-trusted",2,"2025-12-02","2025-12-02","2026-05-19","2026-05-19","Beanie Boo husky plush"
"0046","skip-trusted",5,"2026-01-05","2026-01-06","2026-05-17","2026-05-19","Arcade Alley Laser Bowlercade"
"0048","skip-trusted",7,"2026-01-05","2026-01-05","2026-05-17","2026-05-19","Vintage Santa Christmas figure"
"0050","skip-trusted",4,"2026-01-05","2026-05-06","2026-05-17","2026-05-17","Toy Story Woody pull-string doll"
"0051","skip-trusted",7,"2026-01-05","2026-01-09","2026-05-17","2026-05-17","Harold singing reindeer"
"0052","skip-trusted",10,"2025-12-01","2026-01-12","2026-05-17","2026-05-19","Singing Elvis Christmas dog"
"0053","skip-trusted",32,"2025-10-30","2025-10-30","2026-02-10","2026-02-10","Playskool Kota Triceratops"
"0055","skip-trusted",12,"2025-12-01","2025-12-01","2026-01-24","2026-01-28","Santa Homer Simpson animatronic"
"0057","skip-trusted",6,"2026-01-17","2026-01-17","2026-05-17","2026-05-19","Yellow Yoshi plush"
"0058","skip-trusted",7,"2026-01-16","2026-01-16","2026-05-17","2026-05-19","John Deere ride-on tractor"
"0059","skip-trusted",6,"2026-01-19","2026-01-19","2026-05-17","2026-05-19","Brown kangaroo plush tan pouch"
"0062","skip-trusted",11,"2026-01-22","2026-01-22","2026-05-17","2026-05-19","Bob the Builder and Spud plush"
"0064","skip-trusted",7,"2026-01-22","2026-01-22","2026-01-22","2026-01-22","Animatronic Santa figure"
"0065","no-images",0,"2026-04-01","2026-04-02","2026-04-01","2026-04-02","French musical sound book"
"0066","skip-trusted",6,"2026-03-03","2026-04-05","2026-05-17","2026-05-17","Lucy dalmatian plush dog"
"0067","skip-trusted",3,"2026-04-01","2026-04-14","2026-05-17","2026-05-17","Dakin stroller huggers with music box"
"0074","skip-trusted",3,"2026-04-30","2026-05-08","2026-05-17","2026-05-19","Jellycat Bashful bunnies yellow and navy"
"0076","skip-trusted",1,"2026-05-12","2026-05-14","2026-05-17","2026-05-17","Sleeping tan teddy blue pillow"
"0078","skip-trusted",5,"2026-03-02","2026-03-03","2026-05-17","2026-05-19","Disney Pluto plush"
"0079","skip-trusted",2,"2025-12-11","2025-12-14","2026-05-19","2026-05-19","Tan shaggy dog brown ribbon"
"0080","skip-trusted",6,"2026-02-16","2026-02-18","2026-05-17","2026-05-19","Capybara plush"
"0081","skip-trusted",2,"2026-04-21","2026-04-22","2026-05-19","2026-05-19","Terry cloth tan puppy plush"
"0082","skip-trusted",5,"2025-11-24","2025-12-09","2026-05-17","2026-05-19","Elephant baby lovey blanket"
"0083","skip-trusted",2,"2026-04-17","2026-04-22","2026-05-19","2026-05-19","Teddy in pink pajamas"
"0084","skip-trusted",7,"2026-01-05","2026-01-08","2026-05-17","2026-05-19","Paddington Bear"
"0085","skip-trusted",3,"2026-03-25","2026-03-28","2026-05-19","2026-05-19","Vintage giant panda plush"
"0086","skip-trusted",7,"2025-11-19","2025-11-27","2025-11-27","2025-11-27","Disney Tigger plush"
"0087","skip-trusted",3,"2026-03-28","2026-03-30","2026-05-19","2026-05-19","Curly sherpa teddy gold organza bow"
"0088","skip-trusted",10,"2026-03-27","2026-03-28","2026-03-28","2026-03-28","Yui Yuigahama Bunny Ver 1/4 FREEing"
"0089","skip-trusted",1,"2025-12-04","2025-12-04","2026-05-19","2026-05-19","Brown sherpa teddy pink ribbon"
"0090","skip-trusted",6,"2026-03-25","2026-03-31","2026-05-17","2026-05-19","Cream teddy blue satin bow"
"0091","skip-trusted",4,"2025-11-01","2025-11-13","2025-11-01","2025-11-01","Woody doll Toy Story"
"0092","skip-trusted",7,"2025-12-02","2025-12-08","2026-05-17","2026-05-19","Buzz Lightyear figure"
"0093","skip-trusted",1,"2024-02-02","2024-02-02","2024-10-29","2024-10-29","Tomy Big Loader white shells pair"
"0094","skip-trusted",13,"2025-08-26","2025-08-26","2025-09-12","2025-09-12","Russ Ducksley singing duck"
"0095","skip-trusted",18,"2026-02-27","2026-03-02","2026-05-17","2026-05-17","Toy Biz My Pal 2 robot"
"0098","skip-trusted",6,"2025-07-05","2025-07-06","2025-05-28","2025-07-06","Lion mascot costume transform"
"0099","skip-trusted",3,"2026-05-19","2026-05-19","2026-05-18","2026-05-21","FlySky FS-GT2 RC transmitter"
"0100","skip-trusted",11,"2026-05-22","2026-05-23","2026-05-19","2026-05-21","Vintage honey-brown plush bunny"
