usb_source,capture_utc,project_dir,role,destination
"Bob_n_Spud/before.jpg","2026-02-01T22:38:32.000Z","0062 - Bob and Spud","before","before.jpeg"
"Bob_n_Spud/after.jpg","2026-05-06T10:14:08.000Z","0062 - Bob and Spud","after","after.jpeg"
"Bob_n_Spud/IMG_20260122_151041.jpg","2026-01-22T15:10:41.000Z","0062 - Bob and Spud","wip","WIP-001.jpeg"
"Bob_n_Spud/IMG_20260201_174359.jpg","2026-02-01T17:43:59.000Z","0062 - Bob and Spud","wip","WIP-002.jpeg"
"Bob_n_Spud/IMG_20260201_174551.jpg","2026-02-01T17:45:51.000Z","0062 - Bob and Spud","wip","WIP-003.jpeg"
"Bob_n_Spud/IMG_20260201_180124.jpg","2026-02-01T18:01:24.000Z","0062 - Bob and Spud","wip","WIP-004.jpeg"
"Bob_n_Spud/IMG_20260201_181919.jpg","2026-02-01T18:19:19.000Z","0062 - Bob and Spud","wip","WIP-005.jpeg"
"Bob_n_Spud/IMG_20260213_103427.jpg","2026-02-13T10:34:27.000Z","0062 - Bob and Spud","wip","WIP-006.jpeg"
"Bob_n_Spud/Spud.jpg","2026-03-29T00:21:28.000Z","0062 - Bob and Spud","wip","WIP-007.jpeg"
"Bob_n_Spud/Spud_3.jpg","2026-03-29T00:28:20.000Z","0062 - Bob and Spud","wip","WIP-008.jpeg"
"Bob_n_Spud/Spud_2.jpg","2026-03-29T00:32:03.000Z","0062 - Bob and Spud","wip","WIP-009.jpeg"
"Bob_n_Spud/Kangaroo/before.jpg","2026-01-19T12:18:47.000Z","0059 - Kangaroo","before","before.jpeg"
"Bob_n_Spud/Kangaroo/before2.jpg","2026-01-19T12:19:00.000Z","0059 - Kangaroo","before (extra)","WIP-001.jpeg"
"Bob_n_Spud/Kangaroo/before3.jpg","2026-01-19T12:19:08.000Z","0059 - Kangaroo","before (extra)","WIP-002.jpeg"
"Bob_n_Spud/Kangaroo/after.jpg","2026-01-19T23:23:48.000Z","0059 - Kangaroo","after","after.jpeg"
"Bob_n_Spud/Kangaroo/after2.jpg","2026-01-19T23:24:07.000Z","0059 - Kangaroo","after (extra)","WIP-003.jpeg"
"Bob_n_Spud/Kangaroo/after3.jpg","2026-01-19T23:24:58.000Z","0059 - Kangaroo","after (extra)","WIP-004.jpeg"
"Bob_n_Spud/Yoshi/before2.jpg","2026-01-16T16:15:20.000Z","0057 - Yoshi","before","before.jpeg"
"Bob_n_Spud/Yoshi/before1.jpg","2026-01-16T16:15:25.000Z","0057 - Yoshi","before (extra)","WIP-001.jpeg"
"Bob_n_Spud/Yoshi/before3.jpg","2026-01-16T16:15:31.000Z","0057 - Yoshi","before (extra)","WIP-002.jpeg"
"Bob_n_Spud/Yoshi/after1.jpg","2026-01-19T15:19:38.000Z","0057 - Yoshi","after","after.jpeg"
"Bob_n_Spud/Yoshi/after2.jpg","2026-01-19T15:20:10.000Z","0057 - Yoshi","after (extra)","WIP-003.jpeg"
"Bob_n_Spud/Yoshi/after3.jpg","2026-01-19T15:20:43.000Z","0057 - Yoshi","after (extra)","WIP-004.jpeg"
"Bowling_machine/IMG_20260106_120058.jpg","2026-01-06T12:00:58.000Z","0046 - Bowing machine","wip","WIP-001.jpeg"
"Bowling_machine/IMG_20260106_142413.jpg","2026-01-06T14:24:13.000Z","0046 - Bowing machine","wip","WIP-002.jpeg"
"Bowling_machine/IMG_20260106_142423.jpg","2026-01-06T14:24:23.000Z","0046 - Bowing machine","wip","WIP-003.jpeg"
"Bowling_machine/IMG_20260106_142426.jpg","2026-01-06T14:24:26.000Z","0046 - Bowing machine","wip","WIP-004.jpeg"
"Brown_ribbon_dog/before.jpg","2025-12-11T10:33:26.000Z","0079 - Brown ribbon dog","before","before.jpeg"
"Brown_ribbon_dog/after.jpg","2025-12-14T16:05:47.000Z","0079 - Brown ribbon dog","after","after.jpeg"
"Bunny_towel/before.jpg","2025-02-09T08:57:26.000Z","0016 - Bunny cuddling toy","before","before.jpeg"
"Bunny_towel/before2.jpg","2025-02-09T08:57:30.000Z","0016 - Bunny cuddling toy","before (extra)","WIP-001.jpeg"
"Bunny_towel/before3.jpg","2025-02-09T08:57:43.000Z","0016 - Bunny cuddling toy","before (extra)","WIP-002.jpeg"
"Bunny_towel/after.jpg","2025-02-09T14:26:43.000Z","0016 - Bunny cuddling toy","after","after.jpeg"
"Bunny_towel/after2.jpg","2025-02-09T14:27:06.000Z","0016 - Bunny cuddling toy","after (extra)","WIP-003.jpeg"
"Capybara_Plush/before2.jpg","2026-02-16T12:54:58.000Z","0080 - Capybara Plush","before","before.jpeg"
"Capybara_Plush/before1.jpg","2026-02-16T12:55:32.000Z","0080 - Capybara Plush","before (extra)","WIP-001.jpeg"
"Capybara_Plush/after3.jpg","2026-02-18T17:03:27.000Z","0080 - Capybara Plush","after","after.jpeg"
"Capybara_Plush/after2.jpg","2026-02-18T17:03:39.000Z","0080 - Capybara Plush","after (extra)","WIP-002.jpeg"
"Capybara_Plush/after1.jpg","2026-02-18T17:03:54.000Z","0080 - Capybara Plush","after (extra)","WIP-003.jpeg"
"Capybara_Plush/IMG_20260218_015700.jpg","2026-02-18T01:57:00.000Z","0080 - Capybara Plush","wip","WIP-004.jpeg"
"Cece/before.jpg","2025-10-10T16:20:11.000Z","0039 - Cece doll","before","before.jpeg"
"Cece/before2.jpg","2025-10-10T16:20:16.000Z","0039 - Cece doll","before (extra)","WIP-001.jpeg"
"Cece/after1.jpg","2025-10-16T02:08:56.000Z","0039 - Cece doll","after","after.jpeg"
"Cece/after2.jpg","2025-10-16T02:09:04.000Z","0039 - Cece doll","after (extra)","WIP-002.jpeg"
"Cece/IMG_20251010_165149.jpg","2025-10-10T16:51:49.000Z","0039 - Cece doll","wip","WIP-003.jpeg"
"Cece/IMG_20251016_013628.jpg","2025-10-16T01:36:28.000Z","0039 - Cece doll","wip","WIP-004.jpeg"
"Cece/IMG_20251016_020606.jpg","2025-10-16T02:06:06.000Z","0039 - Cece doll","wip","WIP-005.jpeg"
"Dinotronic/after2.jpg","2025-09-25T15:45:57.000Z","0035 - DinoTronic","after","after.jpeg"
"Dinotronic/after.jpg","2025-09-25T15:46:06.000Z","0035 - DinoTronic","after (extra)","WIP-001.jpeg"
"Dinotronic/IMG_20250821_110719.jpg","2025-08-21T11:07:19.000Z","0035 - DinoTronic","wip","WIP-002.jpeg"
"Dinotronic/IMG_20250827_142607.jpg","2025-08-27T14:26:07.000Z","0035 - DinoTronic","wip","WIP-003.jpeg"
"Dinotronic/IMG_20250827_145349.jpg","2025-08-27T14:53:49.000Z","0035 - DinoTronic","wip","WIP-004.jpeg"
"Dinotronic/IMG_20250907_004101.jpg","2025-09-07T00:41:01.000Z","0035 - DinoTronic","wip","WIP-005.jpeg"
"Dinotronic/IMG_20250907_004153.jpg","2025-09-07T00:41:53.000Z","0035 - DinoTronic","wip","WIP-006.jpeg"
"Dinotronic/IMG_20250907_010519.jpg","2025-09-07T01:05:19.000Z","0035 - DinoTronic","wip","WIP-007.jpeg"
"Dinotronic/IMG_20250910_232051.jpg","2025-09-10T23:20:51.000Z","0035 - DinoTronic","wip","WIP-008.jpeg"
"Dinotronic/IMG_20250910_232653.jpg","2025-09-10T23:26:53.000Z","0035 - DinoTronic","wip","WIP-009.jpeg"
"Dinotronic/IMG_20250910_232745.jpg","2025-09-10T23:27:45.000Z","0035 - DinoTronic","wip","WIP-010.jpeg"
"Dinotronic/IMG_20250911_133838.jpg","2025-09-11T13:38:38.000Z","0035 - DinoTronic","wip","WIP-011.jpeg"
"Dinotronic/IMG_20250911_165420.jpg","2025-09-11T16:54:20.000Z","0035 - DinoTronic","wip","WIP-012.jpeg"
"Dinotronic/IMG_20250911_171627.jpg","2025-09-11T17:16:27.000Z","0035 - DinoTronic","wip","WIP-013.jpeg"
"Dinotronic/IMG_20250912_223922.jpg","2025-09-12T22:39:22.000Z","0035 - DinoTronic","wip","WIP-014.jpeg"
"Dinotronic/IMG_20250913_200001.jpg","2025-09-13T20:00:01.000Z","0035 - DinoTronic","wip","WIP-015.jpeg"
"Dinotronic/IMG_20250925_154729.jpg","2025-09-25T15:47:29.000Z","0035 - DinoTronic","wip","WIP-016.jpeg"
"Dinotronic/IMG_20250925_181148.jpg","2025-09-25T18:11:48.000Z","0035 - DinoTronic","wip","WIP-017.jpeg"
"Dog/dog_before.jpg","2026-04-21T11:53:58.000Z","0081 - Dog","wip","WIP-001.jpeg"
"Dog/Dog_after.jpg","2026-04-22T10:07:43.000Z","0081 - Dog","wip","WIP-002.jpeg"
"Elephant_Towel/before.jpg","2025-11-24T10:28:23.000Z","0082 - Elephant Towel","before","before.jpeg"
"Elephant_Towel/before2.jpg","2025-11-24T10:28:42.000Z","0082 - Elephant Towel","before (extra)","WIP-001.jpeg"
"Elephant_Towel/after.jpg","2025-12-09T13:42:48.000Z","0082 - Elephant Towel","after","after.jpeg"
"Elephant_Towel/after2.jpg","2025-12-09T13:43:08.000Z","0082 - Elephant Towel","after (extra)","WIP-002.jpeg"
"Elephant_Towel/IMG_20251124_102842.jpg","2025-11-24T10:28:42.000Z","0082 - Elephant Towel","wip","WIP-003.jpeg"
"Elvis_dog/after.jpg","2026-01-09T23:53:59.000Z","0052 - Singing Elvis Dog","after","after.jpeg"
"Elvis_dog/after2.jpg","2026-01-09T23:54:08.000Z","0052 - Singing Elvis Dog","after (extra)","WIP-001.jpeg"
"Elvis_dog/IMG_20260108_150931.jpg","2026-01-08T15:09:31.000Z","0052 - Singing Elvis Dog","wip","WIP-002.jpeg"
"Elvis_dog/IMG_20260108_150942.jpg","2026-01-08T15:09:42.000Z","0052 - Singing Elvis Dog","wip","WIP-003.jpeg"
"Elvis_dog/IMG_20260108_232626.jpg","2026-01-08T23:26:26.000Z","0052 - Singing Elvis Dog","wip","WIP-004.jpeg"
"Elvis_dog/IMG_20260108_232648.jpg","2026-01-08T23:26:48.000Z","0052 - Singing Elvis Dog","wip","WIP-005.jpeg"
"Elvis_dog/IMG_20260109_220638.jpg","2026-01-09T22:06:38.000Z","0052 - Singing Elvis Dog","wip","WIP-006.jpeg"
"Elvis_dog/IMG_20260109_231823.jpg","2026-01-09T23:18:23.000Z","0052 - Singing Elvis Dog","wip","WIP-007.jpeg"
"Elvis_dog/IMG_20260109_231959.jpg","2026-01-09T23:19:59.000Z","0052 - Singing Elvis Dog","wip","WIP-008.jpeg"
"Elvis_dog/IMG_20260109_232403.jpg","2026-01-09T23:24:03.000Z","0052 - Singing Elvis Dog","wip","WIP-009.jpeg"
"Firetruck_rideOn/after.jpg","2025-10-13T14:31:03.000Z","0058 - Ride on Car","after","after.jpeg"
"Footy_duck/before.jpg","2025-12-11T20:04:21.000Z","0030 - Lauging little duck","before","before.jpeg"
"Footy_duck/after.jpg","2025-12-17T00:13:34.000Z","0030 - Lauging little duck","after","after.jpeg"
"Footy_duck/after3.jpg","2025-12-17T00:14:22.000Z","0030 - Lauging little duck","after (extra)","WIP-001.jpeg"
"Footy_duck/after2.jpg","2025-12-17T00:20:01.000Z","0030 - Lauging little duck","after (extra)","WIP-002.jpeg"
"Godfy/before.jpg","2026-03-02T14:46:18.000Z","0078 - Godfy","before","before.jpeg"
"Godfy/before2.jpg","2026-03-02T14:46:24.000Z","0078 - Godfy","before (extra)","WIP-001.jpeg"
"Godfy/after1.jpg","2026-03-03T18:53:10.000Z","0078 - Godfy","after","after.jpeg"
"Godfy/after3.jpg","2026-03-03T18:53:56.000Z","0078 - Godfy","after (extra)","WIP-002.jpeg"
